epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,676.286,1.06843,2.04296,1.11311,1,0.26936,0.98957,0.63422,1.01462,2.79246,1.06551,0.000651515,0.000651515,0.000651515
2,1335.94,1.07844,1.31204,1.10109,0.23834,0.19,0.19284,0.13637,1.00359,3.48046,1.12109,0.00125293,0.00125293,0.00125293
3,1995.78,1.04373,1.07318,1.08836,0.21477,0.65,0.25711,0.17802,1.04547,3.84782,1.20356,0.00178835,0.00178835,0.00178835
4,2652.34,1.02419,0.90966,1.0726,0.93757,0.985,0.95519,0.67757,0.99682,1.41491,1.13937,0.001703,0.001703,0.001703
5,3308.29,0.99074,0.79883,1.06655,0.86102,0.95,0.96111,0.69556,0.9694,1.19272,1.11516,0.001604,0.001604,0.001604
6,3961.77,0.94795,0.7329,1.04968,0.99876,0.985,0.99245,0.73304,0.95731,0.72884,1.09153,0.001505,0.001505,0.001505
7,4618.38,0.95057,0.68583,1.04475,0.99358,1,0.99495,0.7444,0.89458,0.63265,1.01925,0.001406,0.001406,0.001406
8,5269.07,0.95355,0.62411,1.03441,0.97557,0.99822,0.99303,0.76129,0.89595,0.67959,1.02632,0.001307,0.001307,0.001307
9,5920.81,0.90478,0.5634,1.01637,0.99903,1,0.995,0.74276,0.89384,0.55645,1.00022,0.001208,0.001208,0.001208
10,6585.95,0.95338,0.56193,1.02507,0.98908,1,0.99403,0.74794,0.93013,0.52955,1.05085,0.001109,0.001109,0.001109
11,7243.35,0.89659,0.53496,1.04335,0.99279,1,0.9943,0.72159,0.94988,0.5821,1.03224,0.00101,0.00101,0.00101
12,7886.67,0.88656,0.52663,1.03174,0.99131,0.99,0.99329,0.7659,0.89275,0.55215,1.02886,0.000911,0.000911,0.000911
13,8528.39,0.87707,0.50605,1.03428,1,0.99968,0.995,0.74919,0.92815,0.54026,1.04339,0.000812,0.000812,0.000812
14,9169.83,0.87269,0.47757,1.02399,0.99891,1,0.995,0.77091,0.89682,0.48193,1.00996,0.000713,0.000713,0.000713
15,9811.93,0.83416,0.44846,0.99518,0.99771,1,0.995,0.78133,0.85234,0.44809,0.98682,0.000614,0.000614,0.000614
16,10454.5,0.82227,0.44004,0.99375,0.99952,1,0.995,0.7726,0.87417,0.44903,0.98711,0.000515,0.000515,0.000515
17,11093.2,0.82347,0.43507,0.98386,0.9995,1,0.995,0.77661,0.87729,0.42026,1.00653,0.000416,0.000416,0.000416
18,11738.9,0.81976,0.40788,0.99698,0.99889,1,0.995,0.78502,0.84961,0.40731,0.99716,0.000317,0.000317,0.000317
19,12386.9,0.79147,0.39748,0.98539,0.99904,1,0.995,0.79776,0.82486,0.38005,0.97891,0.000218,0.000218,0.000218
20,13033.7,0.78317,0.38516,0.96852,0.99952,1,0.995,0.79734,0.81862,0.36985,0.97652,0.000119,0.000119,0.000119
